name,pros_name,pros_gen,ram,ssd,hdd,graphic_card,os,display,touch,warranty,rating,price
ASUS,AMD Ryzen 3,0,8,512,0,0,Windows 11 ,15.6,0,1,4.2,34990
DELL,Intel Core i5,11,8,512,0,0,Windows 11 ,15.6,0,1,3.8,45990
HP,Intel Core i3,11,8,512,0,0,Windows 11 ,14.0,0,1,4.3,37890
MSI,Intel Core i7,12,16,512,0,4,Windows 11 ,15.6,0,2,4.4,79990
HP,AMD Ryzen 3,0,8,512,0,0,Windows 11 ,15.6,0,1,3.9,29990
Lenovo,Intel Core i5,11,16,512,0,4,Windows 11 ,15.6,0,1,4.3,52990
Lenovo,AMD Ryzen 5,0,8,512,0,0,Windows 11 ,14.4,0,2,4.3,40490
ASUS,AMD Ryzen 5,0,8,512,0,0,Windows 11 ,15.6,0,1,4.4,54990
ASUS,Intel Core i5,12,8,512,0,0,Windows 11 ,15.6,0,1,3.9,47990
Lenovo,Intel Core i5,12,16,512,0,4,Windows 11 ,15.6,0,1,4.2,65990
Lenovo,Intel Core i5,12,16,512,0,0,Windows 11 ,15.6,0,2,4.2,53990
ASUS,AMD Ryzen 7,0,16,512,0,0,Windows 11 ,14.0,1,1,4.7,65990
HP,AMD Ryzen 3,0,8,512,0,0,Windows 11 ,15.6,0,1,4.2,34999
Lenovo,AMD Ryzen 5,0,8,512,0,4,Windows 11 ,15.6,0,1,4.3,48990
ASUS,AMD Ryzen 5,0,8,512,0,0,Windows 11 ,14.0,1,1,4.4,52990
DELL,Intel Core i3,11,8,512,0,0,Windows 11 ,15.6,0,1,4.1,38890
DELL,Intel Core i3,11,8,512,0,0,Windows 11 ,14.0,0,1,4.2,36990
Acer,AMD Ryzen 5,0,8,512,0,0,Windows 11 ,15.6,0,1,4.0,34990
GIGABYTE,Intel Core i7,12,16,1024,0,8,Windows 11 ,15.6,0,2,4.2,193990
HP,AMD Ryzen 3,0,8,512,0,0,Windows 11 ,14.0,0,1,4.3,36999
GIGABYTE,Intel Core i7,12,16,1024,0,6,Windows 11 ,15.6,0,2,4.2,149990
ASUS,Intel Core i5,11,8,512,0,4,Windows 11 ,17.3,0,1,4.3,57990
Acer,Intel Core i3,0,8,512,0,0,Windows 11 ,15.6,0,1,4.3,32990
Acer,Intel Core i5,13,16,512,0,6,Windows 11 ,16.0,0,1,4.4,109990
ASUS,Intel Core i5,12,16,512,0,0,Windows 11 ,14.0,0,1,4.3,57990
Acer,Intel Core i5,13,16,512,0,0,Windows 11 ,15.6,0,1,4.2,58990
HP,AMD Ryzen 5,0,8,512,0,0,Windows 11 ,14.0,0,1,4.4,51490
HP,Mediatek,0,8,256,0,0,Chrome ,13.3,0,1,4.2,42990
HP,AMD Ryzen 3,0,8,512,0,0,DOS ,14.0,0,1,3.8,26990
HP,Intel Core i5,12,16,512,0,0,Windows 11 ,14.0,0,1,4.1,58990
HP,Intel Core i3,11,8,512,0,0,Windows 11 ,15.6,0,1,4.2,35990
ASUS,Intel Core i5,11,16,512,0,0,Windows 11 ,15.6,0,1,4.2,67990
HP,Intel Core i5,12,8,512,0,0,Windows 11 ,15.6,0,1,4.1,54990
HP,Intel Core i7,13,16,1024,0,0,Windows 11 ,15.6,0,1,4.7,88490
Acer,Intel Core i5,12,16,512,0,0,Windows 11 ,14.0,0,1,4.0,60990
HP,AMD Ryzen 5,0,8,512,0,0,Windows 11 ,14.0,0,1,4.3,43990
APPLE,Apple M2 Processor,0,8,256,0,0,Mac OS ,13.6,0,1,4.8,107910
ASUS,Intel Core i5,12,8,512,0,0,Windows 11 ,14.0,0,1,4.3,53990
ASUS,AMD Ryzen 7,0,16,512,0,0,Windows 11 ,15.6,0,1,5.0,102990
ASUS,Intel Core i5,12,16,512,0,0,Windows 11 ,15.6,0,1,4.2,53990
ASUS,AMD Ryzen 7,0,16,512,0,0,Windows 11 ,15.6,0,1,4.3,74990
ASUS,AMD Ryzen 9,0,16,1024,0,0,Windows 11 ,15.6,0,1,4.9,119990
HP,Intel Core i5,11,16,512,0,4,Windows 11 ,16.1,0,1,4.4,58990
SAMSUNG,Intel Core i7,13,16,512,0,0,Windows 11 ,15.6,0,1,4.5,89990
Acer,Intel Core i7,12,16,1024,0,8,Windows 11 ,15.6,0,1,4.4,99990
Infinix,Intel Core i3,10,8,512,0,0,Windows 11 ,15.6,0,1,4.1,29990
Infinix,Intel Core i3,10,8,256,0,0,Windows 11 ,15.6,0,1,4.1,27990
ASUS,AMD Ryzen 5,0,16,512,0,0,Windows 11 ,15.6,0,1,4.4,65990
Acer,Intel Core i5,13,16,512,0,0,Windows 11 ,14.0,0,1,4.4,72990
MSI,Intel Core i7,13,16,512,0,0,Windows 11 ,14.0,0,1,4.3,67990
SAMSUNG,Intel Core i5,13,8,512,0,0,Windows 11 ,15.6,0,1,4.5,74990
ASUS,Intel Core i3,11,8,512,0,0,Windows 11 ,15.6,1,1,4.3,39790
Acer,Intel Core i3,12,8,512,0,0,Windows 11 ,15.6,0,1,4.2,36990
MSI,Intel Core i5,12,16,512,0,4,Windows 11 ,15.6,0,2,4.2,59990
DELL,Intel Core i3,12,8,512,0,0,Windows 11 ,15.0,0,1,4.1,40490
Acer,Intel Core i5,12,16,512,0,4,Windows 11 ,15.6,0,1,4.5,73990
SAMSUNG,Intel Core i5,13,16,512,0,0,Windows 11 ,15.6,0,1,4.4,79990
DELL,Intel Core i5,12,8,512,0,0,Windows 11 ,15.6,0,1,4.1,52990
Lenovo,AMD Ryzen 7,0,16,512,0,0,Windows 11 ,15.6,0,1,4.4,67990
realme,Intel Core i5,11,16,512,0,0,Windows 11 ,14.0,0,1,4.2,54999
ASUS,AMD Ryzen 3,0,8,512,0,0,Windows 11 ,15.6,0,1,4.4,42990
Infinix,Other Intel Processors,11,4,128,0,0,Windows 11 ,15.6,0,1,4.1,20990
Lenovo,Other Intel Processors,0,8,256,0,0,Windows 11 ,14.0,0,1,4.2,25990
SAMSUNG,Intel Core i7,13,16,512,0,0,Windows 11 ,15.6,0,1,4.7,89990
HP,AMD Ryzen 5,0,16,512,0,0,Windows 11 ,13.3,0,1,4.3,68990
APPLE,Apple M2 Processor,0,8,256,0,0,Mac OS ,13.6,0,1,4.8,106990
MSI,Intel Core i5,11,8,512,0,4,Windows 10 ,15.6,0,2,4.3,57990
MSI,Intel Core i5,12,8,512,0,0,Windows 11 ,14.0,0,1,4.2,42990
ASUS,Intel Core i3,11,8,512,0,0,Windows 11 ,15.6,0,1,4.3,35990
HP,AMD Ryzen 7,0,16,1024,0,0,Windows 11 ,13.3,0,1,4.7,78990
Lenovo,Intel Core i5,12,8,512,0,0,Windows 11 ,15.6,0,2,4.2,49990
HP,AMD Ryzen 3,0,8,512,0,0,Windows 11 ,15.6,0,1,4.4,30990
HP,AMD Ryzen 5,0,16,512,0,0,Windows 11 ,14.0,0,1,4.3,55490
HP,Intel Core i3,11,8,512,0,0,Windows 11 ,15.6,0,1,4.1,35990
Lenovo,Intel Core i7,12,16,512,0,0,Windows 11 ,15.6,0,1,4.0,79990
Lenovo,AMD Ryzen 3,0,8,512,0,0,Windows 11 ,15.6,0,1,4.4,33990
HP,AMD Ryzen 5,0,8,512,0,0,Windows 11 ,15.6,0,1,4.5,48990
ASUS,AMD Ryzen 5,0,8,512,0,0,Windows 11 ,15.6,0,1,3.9,39990
HP,Intel Core i7,12,16,1024,0,0,Windows 11 ,14.0,0,1,4.1,84999
Infinix,Intel Core i7,13,16,512,0,0,Windows 11 ,15.4,0,1,4.6,66990
HP,Other AMD Processors,0,8,0,1024,0,Windows 11 ,14.0,0,1,3.7,23990
ASUS,Intel Core i5,12,16,512,0,0,Windows 11 ,16.0,0,1,4.2,69990
HP,Intel Core i5,12,8,512,0,0,Windows 11 ,14.0,0,1,3.7,67990
Acer,Intel Core i3,0,8,512,0,0,Windows 11 ,15.6,0,1,3.8,34990
HP,Intel Core i5,11,8,512,0,0,Windows 11 ,14.0,0,1,4.2,58990
ASUS,AMD Ryzen 5,0,16,512,0,0,Windows 11 ,16.0,0,1,4.4,52990
Lenovo,AMD Ryzen 5,0,16,512,0,0,Windows 11 ,15.6,0,1,4.5,72990
DELL,AMD Ryzen 3,0,8,512,0,0,Windows 11 ,15.0,0,1,3.7,35290
HP,Intel Core i3,13,8,512,0,0,Windows 11 ,15.6,0,1,4.1,46990
HP,Intel Core i5,12,16,512,0,0,Windows 11 ,15.6,0,1,4.2,72990
HP,AMD Ryzen 3,0,8,512,0,0,Windows 11 ,15.6,0,1,4.0,38490
Acer,Intel Core i5,12,8,512,0,0,Windows 11 ,14.0,0,1,4.6,57990
